id_centros_educacion,centros_educacion
A8J6T,pinellas park elementary school
FUNPG,locklin vocational technical center
QT1Z0,santa rosa county adult high school
8DCPK,pea ridge elementary school
XSIY6,jay high school
FRAGW,oriole beach elementary school
NDPJP,w h beasley middle school
97DZO,robert h jenkins
1XDRB,george c miller middle school
BQQ3Z,middleton-burney elementary school
PKQJ0,zephyrhills middle school
66K3F,woodland elementary school
3AVDW,shady hills elementary school
KTAV2,san antonio elementary school
W8F08,suwannee intermediate school
OG1X6,midway elementary school
SO4GO,geneva elementary school
3R8PT,jackson heights middle school
QEST0,lawton elementary school
TJ07G,eastbrook elementary school
PBM7V,tuskawilla middle school
9J7C8,red bug elementary school
QJ017,sterling park elementary school
D4OGP,english estates elementary school
PT1CU,lake orienta elementary school
RT1KV,casselberry elementary school
OZG4S,milwee middle school
LOH5F,winter springs elementary school
XD6GX,longwood elementary school
MZ47V,rock lake middle school
RGNT7,woodlands elementary school
HOYWD,spring lake elementary school
HVKQ9,wilkinson elementary school
HEEQH,sarasota middle school
66MTC,tuttle elementary school
BERLR,ashton elementary school
C82OY,sarasota county student center
B9EB1,fruitville elementary school
AIDKD,garden elementary school
NUNAN,north central adult and community school
UMQVD,polk life and learning center
Q6FJG,george h gause elementary school
WOYXN,maynard e traviss vocational technical center
823Y4,west peachtree street
T4F97,j daniel 'dan' jenkins middle school
OIE1E,shelley s boone middle school
JPBF9,lake wales adult school
5UK8X,janie howard wilson elementary school
ZUWG7,alturas elementary school
XRDGC,eagle lake elementary school
LV5SX,polk school opportunity center
E4C45,bartow junior high school
QXXI6,floral avenue elementary school
N6ON6,bartow senior high school
AE6FH,gibbons street elementary school
Y04F6,riverside elementary school
RTULQ,lewis elementary school
GXIVS,davenport elementary school
EE8AS,r clem churchwell elementary school
4CB82,richard l sanders school
U0G7F,bethune elementary school
3Q6PQ,pasco-hernando state college
01CV9,palm beach community college
HPZNL,eastern florida state college - titusville campus
CTN7P,florida panhandle technical college
OZYWE,roulbac middle school
W429X,walton middle school
5Z5LO,walton county vocational technical school
80EYX,paxton high school
0JYLK,freeport senior high school
ZLDKW,wakulla county adult school
FR77S,w f burns oak hill elementary school
EC94M,seville public school
49X2I,pierson elementary school
VS0WW,sugar mill elementary school
PF73V,south daytona elementary school
H1RBC,highland elementary school
7HJW1,riverview learning center
BVHTV,osceola elementary school
UROW5,ormond beach elementary school
IMO92,port orange elementary school
RQGHH,coronado beach elementary school
7RYA3,new smyrna beach junior high school
QM3Z5,samsula academy
NMPLX,faulkner street elementary school
JU33U,edgewater public school
DL3XC,southwestern seventh grade center
P9O26,de land junior high school
IOJG0,minerva bond long-lake helen elementary school
2DURV,osteen elementary school
XQPK4,union county adult high school
WI4UT,perry primary school
7A4NU,zion lutheran church and school
96THB,walden university
JX5DN,webber college
5SQ7P,hope sound bible college
NL3QJ,spurgeon baptist bible college
884Y3,florida beacon bible college
9Z75E,university of sarasota
ZHAV1,lakeland college of business
Z200Z,luther rice seminary/bible college
GPC9N,international academy of merchandising and design
G9KG7,national education center - tampa technical institute
6MW1A,southeastern college of osteopathic medicine
AAXCF,saint john vianney college seminary
GIX2H,loyola college
1AHS9,martin technical college
NE2GQ,florida career college
AEID2,draughons community college - palm beach center
92TP4,evangelical bible seminary
9X6G6,northwood institute-florida education center
IE1YP,saint vincent de paul regional seminary
FE4M3,prospect hall college
UAQWR,heed university
DC8IK,fort lauderdale college
G9ES7,art institute of fort lauderdale
K7GC2,national education center - bauder college campus
IDWLU,our savior lutheran preschool
TK0N0,inverrary school
ENAWN,saint malachy school
ZGAUI,north pompano baptist preschool
44XL8,first christian church day school
DHYB7,hope lutheran
145XY,highlands christian academy
ZIZ9E,montessori school of deerfield beach
5DUIP,zion lutheran christian school
LHGE4,saint ambrose school
GO4XP,international world school
LU0IW,jrb school
0Y7CY,florida ocean sciences institute
XT1T2,faith christian school
8PDIW,coral springs christian school
RSRRX,garrett academy
20IW7,children school
YW08K,frontier christian academy
UTUZK,bridgeprep academy of collier
IAAL6,pinewood private school
TGYQF,naples seventh-day adventist christian
HF79Q,solid rock christian school
L00QA,citrus christian academy
NM5GX,crystal river christian academy
GWTJN,pace independent private school
R9C7P,busy bee preschool
ALDA9,eckerd wilderness educational system
M1NMM,new testament christian school
ILRAV,port charlotte christian school
O6PLI,saint charles borromeo school
ZZ1R8,bethel christian school
WE2GD,starke seventh-day adventist christian academy
OM0PT,saint marks early learning center
TSMB5,institute of marine science
2POBU,hope school
HL8ZY,antioch school
C7H8G,suwannee river research educational center
EPH88,nakomis school
4S4ED,enon school
FDO83,jacksonville marine institute
9UHIE,saint pauls by the sea episcopal day school
UGMPZ,beaches chapel school
IN5EI,ark christian school
6RGZ4,gerber childrens center
GQHAU,saint martins early learning center
GMK3X,grace christian school
JY3LT,jacksonville country day school
N6VSQ,childrens small world school
12TEH,hendricks memorial methodist day school
53HZL,southside estates academy
IOXMD,christian heritage academy
O8QOR,holy cross lutheran school
7ISIO,christ the king catholic school
MMIXB,all saints early learning child care school
S0JOQ,murray hill baptist church kindergarten
YZW23,jacksonville christian academy
ZFC5L,broach school
IYT6Q,oak school of learning
IZZYU,duval christian school
D9NPT,woodstock park baptist child development school
FH1QL,summerhill childrens center
AMC1Y,west meadows christian academy
OJL8R,walnut hill christian school
AK631,little miss muffet school
6TVBV,spoken word christian school
5YHJL,kinder care learning center
10M36,pensacola private school of liberal arts
SBI1C,jehovah lutheran school
75FWO,kinder care learning center
ZPZY0,mahoney school
4Y5W8,sunshine christian private school
RGGP6,amtra montessori christian preschool
65SW3,heritage christian academy
VQP15,grace episcopal day school
ADGLC,orange park kindergarten
WGTY2,andromeda kindergarten and day care
UFHU7,clay baptist christian school
0G4NP,little lamb christian school
SQTWR,charterhouse private school of clay county
GM93V,homan school
SARSF,american heritage private school
168GR,saint ambrose episcopal school
M51EH,east hollywood private school
UQJCD,banyan school
PR36E,westside baptist church school
ECRKU,annunciation school
HWLJC,hilltop montessori school
M4J2D,atlantis private school
H4QRB,mirawood day school
ELGUX,full service school
GOC6O,saint bartholomew school
K2TYT,pembroke christian academy
SZ7PH,angels corner school
T4B01,hilltop montessori school
2V3WJ,all american memorial church school
B5MD5,nowlin ocean view private school
M4WAS,delphi academy
57JBU,developmental resource center day school
WUGEW,first united methodist christian day school
QGS5O,hollywood junior academy
ZP8G5,little flower school
51KFD,sungate academy
URSHQ,abc school
NSOC9,chur-lee educational day care center
8ED2A,south broward cradle nursery
QHTI1,beth shalem day school
PRHWD,hollywood hills private school
MPL67,west hollywood private school
3143K,hollywood christian school
ZZKBK,galaxy grade school
0V7F5,driftwood nursery school
JIO99,alpha day school
EHEC0,beacon hill school
7QH7R,prince of peace lutheran school
NHCYY,saint bernadette school
LZG9V,shining hours academy
I4X02,love-n-care day nurseries
1OJRW,academy senior high school
FA4RD,lutheran high school of south florida
JXIVP,montessori childrens house
K9TCQ,fern ridge day school
ZJ89I,faith lutheran school
POOPT,our lady queen of martyrs school
SOT3J,summit private school
KVFWS,atlantic christian academy
WJ6JA,lutheran central school
ODHK3,bethany christian school
Z25HG,florida oaks school
4YHNU,plantation christian academy
74FI2,plantation early childhood school
I40OZ,faith child development center
JDD2Z,pembroke lakes academy
BZWDX,temple koi ami preschool
2H7WY,jacaranda school
B8WKP,broward christian school
67H09,alpha day school
VZ2OW,seventh-day adventist christian school
F8BDM,grace lutheran learning center
D5BXJ,second presbyterian church school
ND7X3,american academy
CNQPP,episcopal high school
9AHYQ,christ church school
O5VWB,oxford academy
WZKAS,peace lutheran school
KOCR6,kiddle kollege
VVH58,cradle nursery
D3F6E,ascension child care center
WQGRJ,grace brethren christian school
WMPZD,little schoolhouse
KYEDP,foxmount preparatory school
FN9YB,good day school
4WORC,dillard park day care center
FK2Y0,alpha and omega private school
E26D5,montessori learning center
6GYKF,barrett hall preschool
3JEFY,childrens workshop
NC7H4,first baptist preschool
WADWI,americana preparatory school
A0VQA,faith christian academy
YRT9O,covenant presbyterian kindergarten
P2RZB,rebecca m berhow academy
5QL2H,just for kids academy
VEECJ,children garden montessori school
IZLZA,memorial christian school
COUA7,wee care of plantation learning center
VG1RT,hebrew day school of fort lauderdale
5GO29,plantation methodist school
HODBJ,blake school
5Z0UD,duval academy
J2GYW,kinder care learning center
QH9FA,sarshalom hebrew academy
W3KU0,peace christian school
QDVM5,saint helen school
RSHGG,small fry educational day care school
XUEAO,north lauderdale christian school
KXP84,alphabet academy
29SGL,summit private school
8SS8O,lake shore private school
RB3DW,a country day school of margate
D926B,shepherd academy
BS0HD,epiphany lutheran school
Q1I7F,christian covenant community academy
4P9UI,woodland hall academy
XDRLB,lehigh acres christian academy
V74T4,good shepherd lutheran school
AERNR,montessori school of fort myers
7FP6V,saint michael lutheran school
BMB88,learning center of fort myers
SR1RW,j hamilton welch academy
5NDSK,bishop verot high school
15IAN,edison learning center
59MTC,cape coral christian school
Q4PLU,franklin park kindergarten/day care center
8X8X3,childrens personal development center
OQJQI,sunshine learning center
XL4KR,fort myers junior academy
040D4,landmark christian school
GB2OJ,north fort myers first baptist church school
A63Z5,new testament baptist school
5S1SR,lake christian preschool and kindergarten
WMBGM,gateway junior academy
NS4J8,leesburg montessori school
VOF93,christian home and bible school
DRFRN,tavares christian school
FEYME,calvary christian school
34SVD,faith lutheran school
RKD35,groveland academy
EHDMV,first christian church school
GXXGB,meadow wood academy
J8I6X,mordes academy
1JYIJ,faith baptist church school
U1N7A,runyon academy
25JLC,vero beach sda elementary school
SEQ7V,learning tree preschool center
RX5LL,riverside school
JS2KN,interlake academy
2BIPS,sebring christian school
DNR5B,morning star christian school
O5CK5,avon park christian academy
6USZ3,brooksville seventh-day adventist school
RU356,eckerd wilderness educational center
RJLAU,learning center
YWABW,hammock pond school
E70BU,first united methodist school
RFSGW,agape christian school
0ET19,eden christian school
IRUUS,community christian school of labelle
M0KYV,heritage private school of hardee county
9AYH4,faith christian school
OLGOS,eagles nest private school
SMSM6,havana day care center
8NAUL,quincy day school
4YK1R,kids world
RYHCN,fidelis school
SMQIW,winter park day nursery
SZRMK,west orlando christian elementary school
HNO34,trinity lutheran elementary school
2G06W,park lake presbyterian child care center
M8SRT,pal academy
WJIVO,orlando junior academy
DDZUI,orlando christian school
UYCMD,montessori casa dei bambini
H8XQP,king of kings lutheran elementary school
KRA99,greenacres country day school
2A22X,fellowship baptist school
SKHMS,central florida christian school
SSLF7,orange christian school
K3KBY,good shepherd school
XITFQ,eastland christian school
3H5QV,brush arbor christian school
TV2JA,robert mccord oral school
SC973,riverhills christian school
DFU97,palnez academy
RUNRB,palma ceia united methodist day school
XKYY2,northside christian academy
0LZQD,new world academy
SP11B,montessori house
RQT0X,learning space
9WU14,lake magadalene united methodist kindergarten
XWMHW,independent day school
2HIL1,incarnation catholic school
QFSFK,immanuel lutheran school
V2672,holy trinity lutheran school
8Q8KL,harris preschool nursery
JOARA,greenacres country day school
XUZZ1,glorious christian academy
B7HCP,first baptist\ruskin christian school
RGJTF,east bay christian school
CJ6K5,providence christian school
Z8QP5,university academy
SBD8G,churchill academy
HJH3K,christ our redeemer lutheran school
GTH96,center academy
6197A,campbell academy for the gifted
QRJWR,calvary christian center
S1WQ9,bowman center
I6NGA,berkeley preparatory school
MXMXX,west hillsborough baptist school
LE4X0,west gate christian school
W26U9,villa rosa preschool
XF60G,under the rainbow montessori learning center
PW52J,tryon school
LGEVC,temple terrace presbyterian church school
P5Q5A,tampa preparatory school
E65E9,tampa marine institute
65DLN,tampa christian academy
9MM1D,tampa catholic high school
BZJNQ,senczszyn christian academy
ZO21U,seffner hills academy
GICBI,saint peter claver
4QW62,azalea park baptist school
3PTV9,trinity preparatory school
FJR3V,a b c child care
KRKR3,saint andrews school
O1H2Y,happy acre school
T1PJO,baptist temple school
ZTTSJ,a tiny christian soldier day care center
FBKV2,ballast point christian school
3JA73,advanced mindpower institute
WU10B,palma ceia academy
PIOXQ,saint johns greek orthodox day school
YQNPT,academic achievement center
H82PW,kiddie korral achievement center
9FM5K,hillel school of tampa
X61GF,spencer memorial baptist
E8EBF,louciles elementary school
YOQZI,adelphi school
REIWA,mother goose nursery and kindergarden
6VYJQ,northgate baptist school
MHGOM,morning star school
Q1TOV,seminole presbyterian school
NKCDY,legacy
JA6FM,academy of the holy names high school
